Temperatura (K),Magnetizacion,Regresión Fase normal x,Regresion Fase normal y,Regresion Fase Superconductora x,Regresion Fase Superconductora y
50.2911014556885,-0.11492236232214889,70.0,0.03471634979248278,40.0,-0.1890540449589957
50.5766639709473,-0.11438938980901002,70.38167938931298,0.03465090562553758,40.13358778625954,-0.18812337281341548
51.0070400238037,-0.11316230628725113,70.76335877862596,0.034585461458592384,40.267175572519086,-0.1871927006678353
51.5049209594727,-0.11085572228521501,71.14503816793894,0.034520017291647186,40.400763358778626,-0.1862620285222551
52.0086288452148,-0.10769376755130167,71.52671755725191,0.03445457312470199,40.534351145038165,-0.1853313563766749
52.5172252655029,-0.10407926834942946,71.90839694656489,0.03438912895775679,40.66793893129771,-0.18440068423109468
53.025899887085,-0.1002749232194278,72.29007633587786,0.03432368479081159,40.80152671755725,-0.1834700120855145
53.5328598022461,-0.09642604114210222,72.67175572519083,0.034258240623866384,40.93511450381679,-0.1825393399399343
54.0359516143799,-0.09255592237517112,73.05343511450381,0.034192796456921186,41.06870229007634,-0.18160866779435408
54.5363655090332,-0.08870139976202224,73.43511450381679,0.03412735228997599,41.20229007633588,-0.1806779956487739
55.035285949707,-0.08488054354388168,73.81679389312977,0.03406190812303079,41.33587786259542,-0.1797473235031937
55.5335025787354,-0.08109632774702334,74.19847328244275,0.03399646395608559,41.469465648854964,-0.1788166513576135
56.0340175628662,-0.07735620662479167,74.58015267175573,0.03393101978914039,41.603053435114504,-0.1778859792120333
56.5372085571289,-0.07365029494354833,74.9618320610687,0.03386557562219519,41.73664122137404,-0.1769553070664531
57.0376224517822,-0.06999121134925278,75.34351145038168,0.033800131455249995,41.87022900763359,-0.1760246349208729
57.5305709838867,-0.06639896616441444,75.72519083969466,0.033734687288304796,42.00381679389313,-0.17509396277529268
58.0264415740967,-0.06284019934229279,76.10687022900764,0.0336692431213596,42.13740458015267,-0.1741632906297125
58.524585723877,-0.059328146017473334,76.4885496183206,0.0336037989544144,42.270992366412216,-0.1732326184841323
59.0220336914062,-0.05585877764987945,76.87022900763358,0.0335383547874692,42.404580152671755,-0.1723019463385521
59.5217552185059,-0.05245216797763578,77.25190839694656,0.033472910620524,42.538167938931295,-0.1713712741929719
60.0238552093506,-0.049111231157131445,77.63358778625954,0.033407466453578796,42.67175572519084,-0.1704406020473917
60.5262336730957,-0.04581982014821523,78.01526717557252,0.0333420222866336,42.80534351145038,-0.1695099299018115
61.0233135223389,-0.042593133190614835,78.3969465648855,0.0332765781196884,42.93893129770992,-0.16857925775623128
61.5175819396973,-0.03941716846358678,78.77862595419847,0.0332111339527432,43.07251908396947,-0.1676485856106511
62.0149002075195,-0.036315949577067116,79.16030534351145,0.033145689785798,43.20610687022901,-0.1667179134650709
62.5125827789307,-0.033263950683935006,79.54198473282443,0.033080245618852804,43.33969465648855,-0.16578724131949069
63.0121669769287,-0.03028415503599728,79.92366412213741,0.033014801451907605,43.47328244274809,-0.1648565691739105
63.5147533416748,-0.02736647964014617,80.30534351145039,0.032949357284962406,43.60687022900763,-0.1639258970283303
64.0110301971436,-0.024517929870022277,80.68702290076337,0.03288391311801721,43.74045801526717,-0.1629952248827501
64.5078468322754,-0.02173793733542811,81.06870229007633,0.03281846895107201,43.87404580152672,-0.1620645527371699
65.0046615600586,-0.019029075895913336,81.45038167938931,0.03275302478412681,44.00763358778626,-0.1611338805915897
65.4994659423828,-0.016376210372012222,81.83206106870229,0.03268758061718161,44.1412213740458,-0.1602032084460095
65.999095916748,-0.013809161216389447,82.21374045801527,0.032622136450236414,44.274809160305345,-0.1592725363004293
66.4991683959961,-0.011302871934169111,82.59541984732824,0.032556692283291215,44.408396946564885,-0.1583418641548491
66.9985466003418,-0.008901244816809834,82.97709923664122,0.032491248116346017,44.541984732824424,-0.1574111920092689
67.4955177307129,-0.00654395510855389,83.3587786259542,0.03242580394940081,44.67557251908397,-0.15648051986368872
67.9927749633789,-0.004261110001718734,83.74045801526718,0.03236035978245561,44.80916030534351,-0.1555498477181085
68.4923286437988,-0.002055031939423167,84.12213740458016,0.032294915615510414,44.94274809160305,-0.1546191755725283
68.991771697998,8.078602502265278e-05,84.50381679389314,0.032229471448565215,45.0763358778626,-0.1536885034269481
69.4894943237305,0.0021419377126628333,84.8854961832061,0.03216402728162002,45.20992366412214,-0.15275783128136788
69.9879379272461,0.004110197416536267,85.26717557251908,0.03209858311467482,45.34351145038168,-0.1518271591357877
70.485466003418,0.0060208904256352225,85.64885496183206,0.03203313894772962,45.47709923664122,-0.1508964869902075
70.980167388916,0.007860654062879389,86.03053435114504,0.03196769478078442,45.61068702290076,-0.1499658148446273
71.480281829834,0.009612391360909835,86.41221374045801,0.03190225061383922,45.7442748091603,-0.1490351426990471
71.979419708252,0.011292231291239001,86.79389312977099,0.031836806446894024,45.87786259541985,-0.1481044705534669
72.4771003723145,0.012905171437749557,87.17557251908397,0.031771362279948825,46.01145038167939,-0.1471737984078867
72.977123260498,0.014443386543632112,87.55725190839695,0.03170591811300363,46.145038167938935,-0.1462431262623065
73.4737281799316,0.01591509986457961,87.93893129770993,0.03164047394605843,46.278625954198475,-0.1453124541167263
73.9706916809082,0.017309850800299002,88.3206106870229,0.03157502977911322,46.412213740458014,-0.1443817819711461
74.4710311889648,0.018637942639436945,88.70229007633588,0.031509585612168024,46.545801526717554,-0.14345110982556591
74.9714241027832,0.019902631053990226,89.08396946564886,0.031444141445222826,46.6793893129771,-0.1425204376799857
75.4708671569824,0.021102415950347612,89.46564885496184,0.03137869727827763,46.81297709923664,-0.1415897655344055
