Temperatura (K),Delta T
0.3627590168398024,20876686436215.89
0.37086291317029957,30230500580135.37
0.37907078787528736,44559930836040.305
0.3871825339812096,68120995210114.12
0.3952664320743115,108863336137519.77
0.40344091408383725,181261919825443.72
0.41159433875928325,329506213071387.56
0.41975903969942924,643731118113636.2
0.4279043654002298,1369929566508975.2
0.43603841483632916,3446328479927158.0
0.44416698188959436,1.1971796028151898e+16
0.4522967326391514,1.8594019242530326e+17
0.4604655453664262,3.51493237201663e+17
0.4685933648220299,5.860344762446239e+16
0.47672367626983353,3.3756984220359468e+16
0.4848903708037366,2.167071328272969e+16
0.49304205108464416,2.2016700604471412e+16
0.5011571613800357,2.2437381580043396e+16
0.5093307711922905,2.3705110480534816e+16
0.5175028235094219,2.982357280807085e+16
0.5256270918761429,3.0510397684210148e+16
0.5337654399987879,4.132149325547364e+16
0.541900984630207,3.323523314356804e+16
0.5500655609707434,3.3178264335472364e+16
0.5582634677069376,3.665224599204834e+16
0.5663676132366522,5.003136397276339e+16
0.5744814775359445,6.796173183127026e+16
0.5826489196675091,4.6426692835200504e+16
0.5907277714764071,6.3998375940087576e+16
0.5988514168450779,5.666112354112841e+16
0.6070178621797637,7.1525841527352776e+16
0.6151879832029418,7.219953042187514e+16
0.6233554253345047,6.184917957768664e+16
0.6315203131740653,1.0463094259775046e+17
0.6396977232744298,7.457629012101602e+16
0.6478130204692378,1.0273266285155416e+17
0.6559526145879738,1.1036803581926726e+17
0.6640748270611255,1.0826132367308138e+17
0.6722371606086922,1.6152979983504854e+17
0.680414819908259,1.709148647274633e+17
0.6885185293393498,1.520189815869637e+17
0.6966785577941134,1.449099746388532e+17
0.7048846258047602,1.640158568911025e+17
0.713015684850222,1.8151417690162474e+17
0.7211109215078388,1.9917330650379517e+17
0.7292746879509017,2.0392243444331725e+17
0.7374365853998313,2.116307487507144e+17
0.7455749335224731,3.5577425945118675e+17
0.7536841876361954,4.4975888879206496e+17
0.7618854585618507,4.750836054004023e+17
0.7700160815086754,3.445295765234052e+17
0.7781298212083697,5.111022101360984e+17
0.7863057984132055,8.728344029801819e+17
0.7943898211059249,1.0510729851105536e+18
0.8025166437646498,9.632137366283967e+17
0.8106818431032251,8.454590308764348e+17
