Temperatura (K),Delta
88.9259986877441,431207829.7356198
89.4261856079102,-592868650.8845471
89.9238624572754,-242081489.6361603
90.4216918945313,-183730738.36557525
90.9217491149902,-147209759.46835077
91.4208869934082,-148380256.78799525
91.9177856445313,-149791126.50635684
92.4182662963867,-153964640.35789132
92.9186515808105,-172695028.32470554
93.4161109924316,-174672257.9123833
93.9144325256348,-203276888.14883417
94.4125823974609,-182305329.4436782
94.9125099182129,-182149016.83915937
95.414478302002,-191447763.08969593
95.9107055664062,-223676918.73048365
96.407527923584,-260694710.0178104
96.9076309204102,-215468542.56526753
97.4023094177246,-252979002.96286958
97.899730682373,-238035971.10757947
98.399772644043,-267443155.693603
98.9000396728516,-268699703.05505574
99.4001426696777,-248694952.85929435
99.900089263916,-323467065.7080106
100.400802612305,-273086598.20836323
100.89771270752,-320519364.238035
101.396110534668,-332216850.5950101
101.893444061279,-329030885.591431
102.39323425293,-401907700.64163804
102.893962860107,-413418510.3831991
103.390163421631,-389896116.4040541
103.889812469482,-380670427.84914774
104.392280578613,-404988712.05393183
104.890155792236,-426044806.21364784
105.385837554932,-446288366.98237514
105.885715484619,-451577716.94727945
106.385478973389,-460033421.3410091
106.883800506592,-596468154.5993774
107.380340576172,-670640655.4870238
107.882514953613,-689263088.6681821
108.380363464355,-586966418.5653257
108.877178192139,-714914127.8056396
109.37780380249,-934256069.27661
109.872798919678,-1025218506.032033
110.370414733887,-981434529.9755846
110.870380401611,-919488461.5243602
111.370090484619,-1431271264.5474284
111.870532989502,-1249379657.0531116
112.368988037109,-2407082285.6547923
112.867168426514,-1543538856.7325284
113.367660522461,-3842629285.048116
113.868389129639,-1518246833.070694
114.368686676025,-3349466049.2954655
114.863967895508,-5217162029.545443
115.356460571289,3996806656.364005
115.859310150146,10127709127.673056
116.36548614502,6662014516.33061
116.864013671875,3525244593.1912665
117.358722686768,9673832799.807798
117.855758666992,4156574576.170073
118.354553222656,9649317740.964277
118.851692199707,1798708860.2705827
119.350124359131,1345996411.0197341
119.850875854492,2132816602.3295944
120.348293304443,1461712715.8425336
120.847854614258,2263986101.955468
121.350658416748,6922432154.994812
121.846019744873,3510864370.9714637
122.343921661377,976070078.6658615
122.844100952148,1239070449.4485335
123.342281341553,1345357848.5801003
123.842712402344,1387655895.060869
124.341018676758,1747158544.2828329
124.839878082275,1575055043.6057851
125.340496063232,882039474.0740544
125.840755462646,2278096380.7451625
126.336647033691,1811334761.0679274
126.832450866699,894293794.4217123
127.33292388916,928020803.5769815
127.831195831299,1344950011.558137
128.331642150879,1061046855.8871182
128.831604003906,2188752275.250586
129.329490661621,1004158541.4699229
129.830436706543,912674538.2851739
130.330619812012,1224716873.6163073
130.830612182617,1723591564.355819
131.328132629395,884601628.7136952
131.825164794922,900177555.7113633
132.325492858887,1597110814.373264
132.826171875,1628546068.69195
133.321678161621,1679632117.2908573
133.817741394043,1281218326.6696537
134.317947387695,2422424421.5163746
134.81787109375,1441127661.7245238
135.31761932373,1565175262.468665
135.817863464355,2707438800.068338
136.317192077637,1014261458.8021127
136.815689086914,1135036969.3504217
137.316558837891,2075224257.667509
137.816795349121,1555334044.5550964
138.31519317627,1282272813.0582395
138.811950683594,2204909098.849373
139.309768676758,11703693748.332275
139.809837341309,2346196125.955396
140.310699462891,1251076261.811277
140.809089660645,2226922372.925586
141.306930541992,3677460239.0056458
141.807060241699,2966037895.217814
142.306015014648,3900384410.0089154
142.806831359863,7330130814.490928
143.308441162109,20557105034.72109
143.807266235352,2437786352.5520864
144.30445098877,3695155949.5325174
144.803283691406,2133859346.337819
145.301139831543,1382709187.1587517
145.799087524414,1554747002.4489453
146.301864624023,2102856742.09218
146.801536560059,3473898068.842054
147.296539306641,8500123220.235218
147.793815612793,3272993888.174935
148.293754577637,2689377310.606031
148.793426513672,11637277287.801826
149.291969299316,3202722366.1692777
149.790512084961,3281148783.4344115
150.290679931641,2429394238.2000504
150.789527893066,3555661941.130474
151.288131713867,3432781351.119359
151.789543151855,2715297618.8551874
152.284576416016,6607903476.32167
152.781578063965,1610111410.436259
153.28141784668,5423046361.244048
153.778472900391,1800456462.3811316
154.279708862305,12316241893.469187
154.778656005859,6452500857.565091
155.278381347656,4030651068.3991995
155.778076171875,19449652318.47055
156.274543762207,7434435726.055747
156.775177001953,2969761008.740539
157.277252197266,3145269413.8948317
157.775177001953,-30217224547.058826
158.270835876465,13811561884.58098
158.771049499512,28067581513.38975
159.269256591797,-6732245010395.122
159.764739990234,-4415745647.253278
160.267684936523,-35323007282.617836
160.768257141113,5382418051.8958235
161.265632629395,-4943503761.485553
161.764152526855,14307148538.480164
162.263061523438,3307552126.8526163
162.76350402832,-15080097337.21322
163.262565612793,1928278599.2085593
163.762390136719,14006542967.437271
164.26001739502,6334709569.602642
164.760734558105,-3347224921.4146404
165.257827758789,7599066116.68089
165.751678466797,14073877133.072636
166.25301361084,-5595295345.179341
166.752914428711,-4917123155.662491
167.250816345215,17964770072.538433
167.75121307373,-93071138430.42955
168.249435424805,399712486775.8208
168.745933532715,-8237462035.651787
169.246360778809,66510679516.46039
169.745964050293,35689501667.119484
170.22631072998,32542883115.46015
170.612503051758,6725155631.546388
170.864845275879,773194205.1647416
171.014801025391,552262288.1586524
171.071113586426,342792392.1055549
171.020881652832,268943756.3754801
170.873031616211,207447243.58458868
170.670928955078,196612101.09643653
170.459060668945,167664479.83672327
170.262145996094,143758264.32868886
170.093635559082,151085007.5456081
169.958396911621,147739879.67411044
169.855857849121,148112465.96370754
169.786979675293,145129995.83567116
169.750633239746,154386381.9417004
169.744079589844,153267515.59341815
169.759216308594,157024069.6814621
169.786819458008,163054643.1793967
169.817909240723,162226646.1983558
169.845199584961,165011623.14202267
169.866539001465,162949725.1219875
