Temperatura (K),Suceptibilidad
50.2911014556885,-0.0007664231666856711
50.5766639709473,-0.0007628687454831965
51.0070400238037,-0.0007546734738220494
51.5049209594727,-0.0007392564572325822
52.0086288452148,-0.0007181705321550428
52.5172252655029,-0.0006940883646759515
53.025899887085,-0.0006687282274142574
53.5328598022461,-0.0006430502546800079
54.0359516143799,-0.000617241035207341
54.5363655090332,-0.0005915634241969365
55.035285949707,-0.000566099139370898
55.5335025787354,-0.0005408439891541677
56.0340175628662,-0.0005158845030725037
56.5372085571289,-0.000491177618849634
57.0376224517822,-0.0004667459334108774
57.5305709838867,-0.0004427698768631031
58.0264415740967,-0.000419032318841447
58.524585723877,-0.00039561317211694814
59.0220336914062,-0.0003724670612771742
59.5217552185059,-0.00034974629880795723
60.0238552093506,-0.00032748962705101363
60.5262336730957,-0.00030555570082935917
61.0233135223389,-0.00028402041295839617
61.5175819396973,-0.0002628260129094746
62.0149002075195,-0.00024215900965625186
62.5125827789307,-0.00022181137621978518
63.0121669769287,-0.00020193199909072319
63.5147533416748,-0.00018247436362234926
64.0110301971436,-0.00016349096779062766
64.5078468322754,-0.0001449465945816941
65.0046615600586,-0.00012687822690023927
65.4994659423828,-0.00010919508548347932
65.999095916748,-9.207536788825419e-05
66.4991683959961,-7.536417854961871e-05
66.9985466003418,-5.934992144333819e-05
67.4955177307129,-4.363246148313442e-05
67.9927749633789,-2.8411810454853554e-05
68.4923286437988,-1.3702339981368806e-05
68.991771697998,5.386571173752517e-07
69.4894943237305,1.4282024073841499e-05
69.9879379272461,2.740642358989833e-05
70.485466003418,4.014800327956573e-05
70.980167388916,5.241821362140409e-05
71.480281829834,6.41005441055448e-05
71.979419708252,7.530143511246997e-05
72.4771003723145,8.605855065497403e-05
72.977123260498,9.63191866005173e-05
73.4737281799316,0.00010612870289779793
73.9706916809082,0.0001154241087639298
74.4710311889648,0.0001242780457294629
74.9714241027832,0.00013271514338230046
75.4708671569824,0.0001407199627874043
75.9688262939453,0.00014824547194561947
76.4670753479004,0.00015533733777917645
76.9649467468262,0.00016195354350481253
77.4630126953125,0.00016820796387370996
77.9629135131836,0.000174047808199597
78.4598999023437,0.00017945589246251345
78.9575462341309,0.00018451168011860634
79.4548454284668,0.000189282177003624
79.951961517334,0.00019362054793686212
80.4520454406738,0.0001975207520080747
80.9506568908691,0.00020119929600494058
81.4529418945313,0.0002045072663533919
81.9510498046875,0.00020743870297178514
82.4482116699219,0.00021015669025928248
82.9493179321289,0.00021249530930096344
83.443489074707,0.00021452741155500004
83.9397010803223,0.00021634040774887764
84.4422798156738,0.00021777130965442554
84.9389724731445,0.00021896990955338843
85.4339599609375,0.00021992833736964902
85.9344940185547,0.0002205878947778312
86.4337387084961,0.00022107769271851091
86.9336738586426,0.00022129111677179607
87.4324226379395,0.00022124719550620822
87.9304809570312,0.0002210159257553943
88.4282035827637,0.00022062129700423411
88.9259986877441,0.00022014934911800327
89.4261856079102,0.0002194377837887306
89.9238624572754,0.00021860538146758685
90.4216918945313,0.00021768278254866302
90.9217491149902,0.0002167703191931186
91.4208869934082,0.0002157426107184207
91.9177856445313,0.00021472816122543523
92.4182662963867,0.00021370509789067358
92.9186515808105,0.00021264287945080965
93.4161109924316,0.00021165473157432868
93.9144325256348,0.00021060444207725556
94.4125823974609,0.00020969217899883004
94.9125099182129,0.00020873269814883106
95.414478302002,0.00020775228574807433
95.9107055664062,0.00020674454208183138
96.407527923584,0.00020575475492120793
96.9076309204102,0.00020490618937395164
97.4023094177246,0.00020393124283002494
97.899730682373,0.00020305037663719897
98.399772644043,0.00020210323089815373
98.9000396728516,0.00020120720466630166
99.4001426696777,0.00020035087200613068
99.900089263916,0.00019938016706557414
100.400802612305,0.00019856549557314312
100.89771270752,0.0001976533363635004
101.396110534668,0.00019678933028943624
101.893444061279,0.00019594854285284307
102.39323425293,0.00019505149872650515
102.893962860107,0.00019420913970175527
103.390163421631,0.00019340357172874218
103.889812469482,0.00019259075094089722
104.392280578613,0.00019175741610869196
104.890155792236,0.00019094197387162188
105.385837554932,0.00019013826376953455
105.885715484619,0.00018934289513249856
106.385478973389,0.00018855274848624134
106.883800506592,0.00018772252821988241
107.380340576172,0.00018693444304764331
107.882514953613,0.00018615950059928054
108.380363464355,0.0001854291897477164
108.877178192139,0.00018464611755681352
109.37780380249,0.00018386054830064116
109.872798919678,0.00018311470968176573
110.370414733887,0.00018238608573144415
110.870380401611,0.00018166273239046514
111.370090484619,0.00018089470953416823
111.870532989502,0.00018018590321787424
112.368988037109,0.0001794310571433889
112.867168426514,0.00017875150399702407
113.367660522461,0.00017800418921161166
113.868389129639,0.00017735118382274852
114.368686676025,0.00017661788229363695
114.863967895508,0.00017592555732885034
115.356460571289,0.0001752034882886383
115.859310150146,0.0001745408697352827
116.36548614502,0.00017385561306651197
116.864013671875,0.0001731761105233063
117.358722686768,0.000172543386906945
117.855758666992,0.0001718752976685135
118.354553222656,0.0001712421456211454
118.851692199707,0.00017054611088474097
119.350124359131,0.0001698844392718972
119.850875854492,0.00016927966805774196
120.348293304443,0.00016862523595609922
120.847854614258,0.00016802786647542048
121.350658416748,0.00016743800295850787
121.846019744873,0.00016680891661185167
122.343921661377,0.0001661077193453372
122.844100952148,0.00016552505148399502
123.342281341553,0.00016493049533752526
123.842712402344,0.0001643325812497361
124.341018676758,0.0001637571853451293
124.839878082275,0.00016315923510493009
125.340496063232,0.00016250871080916685
125.840755462646,0.00016201252525019683
126.336647033691,0.00016142416925442638
126.832450866699,0.00016078239518338398
