Log Temperatura (K),Log Delta T
0.0943272031209762,-9.317065035315549
0.09717320593736568,-9.19182367833191
0.0999903206768044,-9.107980434387956
0.10278009712730543,-9.34339068963974
0.10555796597984846,-10.068322949040912
0.10833061905100043,-9.370364313346435
0.11109004058280568,-9.097283783773634
0.11381854966089149,-9.347705078463024
0.11652704427536721,-9.565547985798265
0.1192310885477649,-9.472176695437762
0.12191210706959468,-9.591107411877394
0.1245865872355705,-9.865111725187461
0.12724889655937255,-10.312961954877252
0.12988033923185066,-9.386995641408097
0.13248735838380551,-9.56763277198449
0.13508738514094315,-9.329165789445284
0.13766689391921785,-9.140730848444164
0.14023164219013132,-9.191659728166933
0.1428059884302532,-9.322809687218868
0.14534940537824245,-9.54081707122424
0.1478544530656407,-9.929425221417862
0.1503565411196128,-9.51494519432897
0.15285757886931695,-9.42965173655534
0.15534297152446946,-10.065851382616318
0.15780865293460514,-9.505519292686099
0.1602604145748729,-9.516025923881793
0.1627063373447869,-9.38549799713605
0.16513216145481693,-9.550920463186596
0.16754333359644474,-9.53564614218881
0.16995465778945293,-9.433817438765601
0.17232224678619396,-9.820063690485595
0.1746863363256255,-9.206855927748418
0.17705101713145993,-9.734243317204475
0.1793898245808363,-9.255382623970986
0.18173561870060842,-10.09047820994594
0.18405818458134898,-9.809728070935513
0.18637198925244408,-9.60537520310767
0.1886733917115143,-10.288911842293125
0.19094791649164547,-9.871248011141752
0.1932295263300468,-9.472721500912685
0.19550573230921287,-9.497657851675276
0.1999753759486645,-10.140242793676354
0.2022083008601088,-10.448204992590265
0.21101102399850943,-9.730977426348684
0.2153346687233134,-10.155553086072759
0.21748458814937122,-9.51950669737233
0.22175993623879084,-9.28516978130844
0.22388223715966685,-10.146330957881688
0.22598495529992302,-9.801726708373316
0.2301707641325689,-9.880760223163291
0.2322276348513089,-10.148413755256
0.23841247915033917,-10.254421663128934
0.24248403999984347,-11.601747715568411
0.24651097387995538,-10.822891384892362
0.24851508951802617,-10.552540483939659
0.25043327754939004,-10.512456026341097
0.2519693546427403,-9.827702339104144
0.2529701171233522,-8.888288590474975
0.25356373515190067,-8.742145387957004
0.2537864458627538,-8.535031174676945
0.25358778894401895,-8.429661466434741
0.2530025446918223,-8.316907668598802
0.25220127081699145,-8.293610244308288
0.2513596890343475,-8.224441065916558
0.25057604095288644,-8.157632820660298
0.24990430667859947,-8.179221370604688
0.24936445142506955,-8.169497740976485
0.24895468093374049,-8.170591612683339
0.2486792101201739,-8.161757182800175
0.24853377601880836,-8.188608989598118
0.248507547516278,-8.185450117715007
0.24856812410676474,-8.195966229024659
0.2486785691447198,-8.212333170381957
0.2488029311898758,-8.210122189865679
0.24891206578323172,-8.217514536266373
0.2489973834038532,-8.212053632195428
